time,delta,elbow_angle,elbow_velocity,elbow_torque
5.956,0.017,180.0,0.0,-2.2043642384652358E-17
5.973,0.017,180.0,0.0,-2.2043642384652358E-17
5.989,0.016,180.0,0.0,-2.2043642384652358E-17
6.005,0.016,180.0,0.0,-2.2043642384652358E-17
6.022,0.017,180.0,0.0,-2.2043642384652358E-17
6.038,0.016,180.0,0.0,-2.2043642384652358E-17
6.054,0.016,180.0,0.0,-2.2043642384652358E-17
6.071,0.017,180.0,0.0,-2.2043642384652358E-17
6.087,0.016,180.0,0.0,-2.2043642384652358E-17
6.104,0.017,180.0,0.0,-2.2043642384652358E-17
6.12,0.016,180.0,0.0,-2.2043642384652358E-17
6.136,0.016,180.0,0.0,-2.2043642384652358E-17
6.153,0.017,180.0,0.0,-2.2043642384652358E-17
6.169,0.016,180.5,6.25,0.0015707763897072683
6.186,0.017,180.0,0.3676470588235297,-2.2043642384652358E-17
6.202,0.016,180.0,0.3676470588235297,-2.2043642384652358E-17
6.218,0.016,180.0,0.3676470588235297,-2.2043642384652358E-17
6.235,0.017,180.0,0.3676470588235297,-2.2043642384652358E-17
6.251,0.016,180.0,-5.88235294117647,-2.2043642384652358E-17
6.267,0.016,180.0,0.0,-2.2043642384652358E-17
6.284,0.017,180.0,0.0,-2.2043642384652358E-17
6.3,0.016,180.0,0.0,-2.2043642384652358E-17
6.317,0.017,180.0,0.0,-2.2043642384652358E-17
6.333,0.016,180.0,0.0,-2.2043642384652358E-17
6.349,0.016,180.0,0.0,-2.2043642384652358E-17
6.366,0.017,180.0,0.0,-2.2043642384652358E-17
6.382,0.016,180.0,0.0,-2.2043642384652358E-17
6.399,0.017,180.0,0.0,-2.2043642384652358E-17
6.415,0.016,180.0,0.0,-2.2043642384652358E-17
6.431,0.016,180.0,0.0,-2.2043642384652358E-17
6.45,0.019,180.0,0.0,-2.2043642384652358E-17
6.468,0.018,180.0,0.0,-2.2043642384652358E-17
6.485,0.017,180.0,0.0,-2.2043642384652358E-17
6.501,0.016,180.0,0.0,-2.2043642384652358E-17
6.517,0.016,180.0,0.0,-2.2043642384652358E-17
6.534,0.017,180.0,0.0,-2.2043642384652358E-17
6.55,0.016,180.0,0.0,-2.2043642384652358E-17
